presence,DECID,MARSH,SWW,STRDIS,ANTHRO,PROB,PREDICTED,DEV_RESID
1,0,0,0,185.5496521,0.385786802,0.453119412,0,1.258252427
1,0.045685299,0.467005104,0,67.99716187,0.365482211,0.96755097,1,0.256854717
1,0,0.137055799,0,86.99105072,0.385786802,0.864274643,1,0.540119776
1,0,0.568527877,0.3299492,162.4938507,0.182741106,0.682803742,1,0.873553442
1,0.0050761,0.030456901,0,114.5759201,0.441624403,0.689173943,1,0.862857557
1,0.898477077,0.248731002,0,62.82585526,0,0.948994705,1,0.323580161
1,0.294416189,0,0,135.3207397,0.269035488,0.655613062,1,0.918895542
1,0,0,0,109.03685,0.543147206,0.591787792,1,1.02431164
1,0.964466989,0.274111688,0,62.28384399,0.035533,0.942301495,1,0.34476078
1,0.406091392,0.3299492,0,54.14637375,0.0203046,0.981444117,1,0.193546909
1,0,0.081218302,0,90.96178436,0.208121806,0.907899624,1,0.439594023
1,0.101522803,0.045685299,0,117.2269974,0.304568499,0.77256302,1,0.718389441
1,0,0.071066,0,109.9467621,0.578680217,0.618053964,1,0.980998986
1,0.0101523,0.375634491,0.076142102,105.3521576,0.091370597,0.955925575,1,0.300250626
1,0.3350254,0,0,115.3976517,0.106599003,0.823804192,1,0.622611288
1,0,0.451776713,0,128.5002594,0.761421323,0.70859219,1,0.83003025
1,0,0.050761402,0,122.2445297,0.472081214,0.654557923,1,0.920646727
1,0,0.507614195,0,93.00402069,0.756345212,0.841232092,1,0.588026675
1,0.873096526,0.279187799,0,41.79626083,0.126903504,0.947524771,1,0.328335799
1,0,0.050761402,0,69.66262054,0.299492389,0.894816148,1,0.471459443
1,0,0.055837601,0,127.1454315,0.639593899,0.478874018,0,1.213521921
1,0,0,0,111.3379059,0.370558411,0.73547968,1,0.783878009
1,0.969543219,0.32487309,0,49.92266846,0.030456901,0.960356713,1,0.284430965
1,0.609137118,0,0,69.79384613,0.243654802,0.789305865,1,0.687897334
1,0,0.350253791,0,89.5574646,0.786802113,0.733375753,1,0.787524075
1,0.1675127,0.0152284,0.055837601,81.53874207,0.467005104,0.629118604,1,0.962741378
1,0,0.34010151,0,76.0030899,0.852791905,0.715308885,1,0.818585148
