OBJECTID,presence,DECID,MARSH,SSW,STUDY,ANTHRO,PROB_1,PREDICTED,DEV_RESID
366,0,0,0.203045681,0,1079.858887,1,0.143698271,0,-0.557014323
367,0,0,0,0,1610.059326,1,0.046342301,0,-0.308059986
368,0,0,0.279187828,0,193.1577759,0.532994926,0.758510144,1,-1.685780419
369,0,0,0.04568528,0,773.7202148,1,0.160587655,0,-0.591697931
370,0,0,0.020304568,0,3754.305908,1,0.001936082,0,-0.062256865
371,0,0,0.147208124,0,2149.957764,1,0.028394567,0,-0.240022874
372,0,0,0,0,447.8308716,1,0.221831883,0,-0.708255164
373,0,0,0.010152284,0,385.3381653,1,0.242636249,0,-0.745535546
374,0,0,0,0,1009.660828,1,0.108101637,0,-0.478336901
375,0,0,0,0,326.5154724,1,0.255336939,0,-0.767884666
376,0,0,0,0,330.851532,0.187817261,0.800329222,1,-1.7950406
377,0,0.131979689,0.527918756,0,673.5085449,0.563451767,0.651104484,1,-1.451194531
378,0,0,0,0,204.6173248,1,0.292187023,0,-0.831354771
379,0,0,0,0,377.080719,0.857868016,0.328297784,0,-0.892121255
380,0,0,0.015228426,0,778.1744995,0.99492383,0.153154688,0,-0.576605986
381,0,0,0,0,1035.307373,1,0.104394661,0,-0.469585844
382,0,0,0.741116762,0,544.237793,0.380710661,0.886518849,1,-2.086201585
383,0,0,0,0,817.3085938,1,0.139737963,0,-0.548667918
384,0,0,0.279187828,0,564.484314,1,0.301897267,0,-0.847807767
385,0,0,0.05076142,0,758.6226196,1,0.165194713,0,-0.600927234
386,0,0,0,0,3144.826172,0.98984772,0.004821847,0,-0.098321003
387,0,0,0.116751269,0,286.2093811,1,0.318547135,0,-0.875817554
388,0,0,0,0,313.0203857,1,0.259262612,0,-0.774737528
389,0,0,0.005076142,0,521.6376343,1,0.204798195,0,-0.676992399
390,0,0.162436545,0.634517789,0,964.7451172,0,0.887507068,1,-2.090389859
391,0,0,0,0,733.4916382,1,0.155792158,0,-0.581990646
392,0,0,0,0,687.3084717,0.98477155,0.171739611,0,-0.613885485
393,0,0,0,0,927.4083252,1,0.120779441,0,-0.507384454
394,0,0,0.532994926,0,1359.457764,0.771573603,0.306871498,0,-0.856200758
395,0,0,0,0,316.5621338,1,0.258228543,0,-0.772934788
396,0,0,0.253807098,0.09137056,762.7821045,1,0.177152498,0,-0.624474805
397,0,0,0.548223376,0.187817261,857.2409668,0.31979695,0.657306066,1,-1.463500974
398,0,0.857868016,0,0,1678.692383,0,0.172899742,0,-0.616164525
399,0,0,0.076142132,0.02538071,90.64056396,1,0.344324784,0,-0.918792371
400,0,0.527918756,0,0,2424.052246,0.446700513,0.029607911,0,-0.245173709
401,0,0,0,0,1535.562134,1,0.051620067,0,-0.325576668
402,0,0,0,0,105.5119629,1,0.324334974,0,-0.885503076
403,0,0,0,0,553.0576172,1,0.195414166,0,-0.659435555
404,0,0,0,1,270.1292419,0,0.156091354,0,-0.582599399
405,0,0.751269042,0.106598988,0,170.1568451,0,0.75786435,1,-1.684195459
406,0,0,0.065989845,0,2586.105469,1,0.012498362,0,-0.158600904
407,0,0,0.071065992,0,499.8138123,1,0.234536001,0,-0.731126657
408,0,0.720812201,0,0,1477.537109,0.279187828,0.133391971,0,-0.535104672
409,0,0,0.081218272,0,907.6911011,1,0.14403647,0,-0.557723065
410,0,0,0.131979689,0,558.0032349,1,0.241993141,0,-0.74439619
411,0,0,0.294416249,0.18274112,191.0594482,0.487309635,0.653766608,1,-1.456462967
412,0,0.147208124,0.111675128,0,240.3050385,0.852791905,0.375868805,0,-0.970973413
